"","sid","lname","fname","rating"
"12751","12751","TRUMP","SEASON","25"
"12752","12752","EISENSTEIN","SHONDRA","76"
"12753","12753","STRAUCH","MERLIN","95"
"12754","12754","WEYDERT","CHAE","18"
"12755","12755","MACKEY","AFTON","35"
"12756","12756","KARAFFA","VALENTINE","84"
"12757","12757","CHAMBERLAIN","AL","27"
"12758","12758","GAMBREL","HILMA","40"
"12759","12759","ENSLOW","LOREN","90"
"12760","12760","KYPER","NARCISA","60"
"12761","12761","VINSON","RICKIE","3"
"12762","12762","ANDREULA","KATHLEEN","32"
"12763","12763","GORENFLO","HENRY","63"
"12764","12764","HOSKEY","STANTON","92"
"12765","12765","WAYE","BRAIN","44"
"12766","12766","PLINE","KEN","50"
"12767","12767","SLATTON","JONIE","78"
"12768","12768","MONDEN","MAO","83"
"12769","12769","FREVER","WALTER","56"
"12770","12770","MEDCALF","AYESHA","52"
"12771","12771","COMTOIS","TRISTAN","83"
"12772","12772","ISADORE","RAMON","73"
"12773","12773","HANNAY","CEDRIC","39"
"12774","12774","APARICIO","JAMEE","31"
"12775","12775","GUEBERT","AMADO","81"
"12776","12776","FELDE","SIMA","97"
"12777","12777","HOGATT","CHRISTAL","4"
"12778","12778","BAUKNIGHT","DOUG","21"
"12779","12779","CUNHA","EMMETT","5"
"12780","12780","JEFCOAT","LEON","69"
"12781","12781","MIYA","BEAU","37"
"12782","12782","CISNEROZ","CAMIE","39"
"12783","12783","DICKUS","MARYLOU","87"
"12784","12784","MANVELITO","ELDEN","63"
"12785","12785","DIETLIN","MARISHA","11"
"12786","12786","EATHERLY","PATRICIA","66"
"12787","12787","FITTON","RUBIN","6"
"12788","12788","HAVNER","ANTONETTA","24"
"12789","12789","VINION","JOHNATHON","10"
"12790","12790","PREYOR","HUBERT","15"
"12791","12791","PANDOLFI","JOEL","6"
"12792","12792","LEONHARDT","GRACE","56"
"12793","12793","SEARING","BRITTENY","17"
"12794","12794","FAY","JANAY","15"
"12795","12795","STRUZZI","REIKO","11"
"12796","12796","ALLON","NAKESHA","18"
"12797","12797","SAVOCA","GEORGEANNA","56"
"12798","12798","SHAO","HONG","11"
"12799","12799","DEGREE","STANLEY","84"
"12800","12800","BRENNING","AHMAD","55"
"12801","12801","JEFFRIES","VINITA","81"
"12802","12802","ZEARFOSS","CODY","66"
"12803","12803","SLOCOMBE","RUFUS","65"
"12804","12804","LIGHTSEY","CHI","89"
"12805","12805","LEDGER","JOHANNA","30"
"12806","12806","KUZA","DESMOND","61"
"12807","12807","ASTOL","ALBERTINA","42"
"12808","12808","MEISTER","JULIO","71"
"12809","12809","TORTORICE","GERARDO","11"
"12810","12810","BOSCHULT","LETA","70"
"12811","12811","SCHOEBEN","BARRIE","36"
"12812","12812","SUSANIN","BASIL","75"
"12813","12813","WHYTE","BRITTANI","14"
"12814","12814","EMMITT","COLEEN","49"
"12815","12815","BORDOY","JAMIE","25"
"12816","12816","BLAZICH","VON","90"
"12817","12817","TUSLER","DORIAN","98"
"12818","12818","KUES","SIMONNE","79"
"12819","12819","CHARLTON","JEFFERY","70"
"12820","12820","LAGATTA","FREDDY","2"
"12821","12821","FESENBEK","PING","48"
"12822","12822","HOHENSEE","MARIO","94"
"12823","12823","HARDISTY","MARQUIS","77"
"12824","12824","ADLING","LIANE","8"
"12825","12825","REDLINGER","MADALENE","14"
"12826","12826","PANCHIK","JIM","80"
"12827","12827","TEBBETTS","JONATHON","10"
"12828","12828","JAGOW","NICOLAS","35"
"12829","12829","SLINSKY","JAIME","11"
"12830","12830","SPINUZZI","DALE","3"
"12831","12831","ADOLFSON","HIROKO","13"
"12832","12832","HENDRIE","MARYJO","61"
"12833","12833","BURCH","ANTOINE","83"
"12834","12834","ODMARK","MARK","25"
"12835","12835","YODERS","LEWIS","45"
"12836","12836","BERNER","ERICK","8"
"12837","12837","RAHMING","GERRI","60"
"12838","12838","FIMBRES","GERARD","80"
"12839","12839","ROMAG","KAYLEIGH","85"
"12840","12840","RAIDEN","NEDRA","85"
"12841","12841","SCHOENECK","CEDRIC","95"
"12842","12842","MOULINOS","SONNY","75"
"12843","12843","REIHL","HAYDEN","37"
"12844","12844","WELKER","SUSANNE","55"
"12845","12845","GOERLICH","SHANE","20"
"12846","12846","SIREGAR","JAYME","3"
"12847","12847","GONZALOS","MARCEL","42"
"12848","12848","CUMINGS","WENDIE","91"
"12849","12849","SAWCZYSZYN","LOYD","16"
"12850","12850","WAYNS","DREW","84"
"12851","12851","LAWHORN","NICK","31"
"12852","12852","MICHELS","BECKY","66"
"12853","12853","NICOLLS","JON","79"
"12854","12854","BETCHER","ALEX","41"
"12855","12855","FLAVORS","PHILIP","15"
"12856","12856","MENDOCA","LUCIEN","52"
"12857","12857","NACHOR","ERNIE","87"
"12858","12858","READNOUR","CORINNE","8"
"12859","12859","LOFTHOUSE","LUCIANO","10"
"12860","12860","DUNAHOE","CELESTA","58"
"12861","12861","SENAY","MARLON","38"
"12862","12862","THILL","MAYME","93"
"12863","12863","HAGERT","EURA","28"
"12864","12864","TURBERVILLE","CHASSIDY","92"
"12865","12865","MULVERHILL","DAVIS","30"
"12866","12866","GROSSKLAUS","MILLIE","38"
"12867","12867","VISHER","FELIPE","32"
"12868","12868","GOSS","TOMIKA","70"
"12869","12869","MARTNEZ","ERMELINDA","13"
"12870","12870","EBEN","JOLENE","80"
"12871","12871","ADACHI","ELIJAH","38"
"12872","12872","BINDER","MACKENZIE","7"
"12873","12873","BANDEMER","DARIUS","44"
"12874","12874","LISIECKI","EVA","96"
"12875","12875","MAGELSSEN","MONTY","30"
"12876","12876","PREAST","FREDRIC","74"
"12877","12877","BRASSFIELD","LAURENCE","99"
"12878","12878","ZEGARELLI","GARFIELD","51"
"12879","12879","HOGON","SHALANDA","12"
"12880","12880","DEFORD","KATIE","66"
"12881","12881","PROKUP","MARC","18"
"12882","12882","JEANPIERRE","NAOMI","27"
"12883","12883","LEBERTE","KIRSTIE","52"
"12884","12884","FENLON","WALTON","6"
"12885","12885","ANDERSON","ONIE","68"
"12886","12886","LEUTERS","HERBERT","67"
"12887","12887","RETTKOWSKI","ASA","99"
"12888","12888","DAY","ZACHARY","9"
"12889","12889","PONCEDELEON","JOETTE","1"
"12890","12890","HOVDEN","SAMATHA","31"
"12891","12891","KLINKENBERG","JOANNE","56"
"12892","12892","FLAMIO","VICTORIA","15"
"12893","12893","OTTS","ESPERANZA","55"
"12894","12894","EGITTO","SILAS","79"
"12895","12895","LOBEL","BRAD","18"
"12896","12896","BUGLISI","ABRAM","49"
"12897","12897","GHILONI","SUNDAY","29"
"12898","12898","JANDRIS","TOSHA","84"
"12899","12899","GOH","DACIA","42"
"12900","12900","THERESA","FELICE","34"
"12901","12901","LAUDADIO","KELLY","79"
"12902","12902","HITTMAN","LUCIO","89"
"12903","12903","PERTUBAL","WILFORD","88"
"12904","12904","PERA","ALEJANDRO","22"
"12905","12905","DAROS","ERICK","20"
"12906","12906","BELGARDE","RICH","5"
"12907","12907","MAUSEY","SHANE","76"
"12908","12908","SILBERMAN","OMAR","84"
"12909","12909","NORTZ","BRET","49"
"12910","12910","BRANNER","CLARISSA","36"
"12911","12911","CHANCER","KARIN","87"
"12912","12912","BAKOWSKI","JED","36"
"12913","12913","ORZECH","CLARIS","95"
"12914","12914","ONSGARD","ANNA","70"
"12915","12915","HESSELINK","PEDRO","53"
"12916","12916","BURLY","BRODERICK","50"
"12917","12917","STIEGLITZ","PHILIP","100"
"12918","12918","MOORES","TED","87"
"12919","12919","LEMMING","HAYDEN","74"
"12920","12920","AMIGON","MICHAEL","5"
"12921","12921","GAREAU","ARA","90"
"12922","12922","BERKELEY","HARLAN","21"
"12923","12923","SHIKLES","STAR","90"
"12924","12924","HEDGER","BRUNO","2"
"12925","12925","BURNAMAN","ENRIQUE","23"
"12926","12926","MATHIAS","STEPHEN","30"
"12927","12927","MARCONE","MINDI","1"
"12928","12928","VOLKERS","GENARO","77"
"12929","12929","ALCOSIBA","ROBBIE","60"
"12930","12930","GUNDELACH","SANG","82"
"12931","12931","MAGLIOLO","DARLENE","26"
"12932","12932","JEWETT","HENRIETTE","84"
"12933","12933","DIFRANCISCO","TIMOTHY","68"
"12934","12934","ESBENSHADE","DANIAL","92"
"12935","12935","KONKOL","JOSEF","57"
"12936","12936","FINOCAN","VANESA","56"
"12937","12937","KREESE","BRADLEY","54"
"12938","12938","DIETEMAN","ELOUISE","75"
"12939","12939","PASCOE","KIP","49"
"12940","12940","CORCINO","AJA","56"
"12941","12941","VALDOVINO","MELONIE","95"
"12942","12942","EASTERLIN","MARK","8"
"12943","12943","CALLIN","MAXIMO","54"
"12944","12944","HESLEY","GWEN","24"
"12945","12945","HOOPII","LETHA","49"
"12946","12946","AILES","RICH","13"
"12947","12947","REANDO","ROSALBA","38"
"12948","12948","SCAVONA","NETA","4"
"12949","12949","BARIS","WINFRED","88"
"12950","12950","TUSTIN","WYATT","6"
"12951","12951","LAME","THELMA","13"
"12952","12952","CAVIN","JOLANDA","20"
"12953","12953","PHILO","FRANCISCO","89"
"12954","12954","YIM","PRINCE","5"
"12955","12955","ALMARIO","MARC","57"
"12956","12956","DRAVLAND","TROY","98"
"12957","12957","COVAL","CEDRICK","25"
"12958","12958","SIGLEY","ZACHARY","84"
"12959","12959","BLANKENBERG","CLEMMIE","91"
"12960","12960","SEYFERT","MATILDE","80"
"12961","12961","ENGELHART","SIDNEY","62"
"12962","12962","VESCIO","JUNIE","20"
"12963","12963","COMPAGNO","PETER","19"
"12964","12964","REINHOLD","MIRIAM","78"
"12965","12965","CARTNER","MOHAMED","43"
"12966","12966","RILLING","LON","60"
"12967","12967","HIMBER","DYLAN","41"
"12968","12968","BIENIEK","JENEE","85"
"12969","12969","BEDSAUL","TONIA","95"
"12970","12970","SHERRIN","ROLANDO","22"
"12971","12971","STANKAITIS","JEANELLE","57"
"12972","12972","HOLMQUIST","CRISTINE","47"
"12973","12973","LLANEZA","SHERI","10"
"12974","12974","RACICOT","GRAHAM","35"
"12975","12975","DRIMMER","CORAZON","87"
"12976","12976","STRANGSTALIEN","TAMRA","67"
"12977","12977","EAKLES","REX","21"
"12978","12978","ROSENOW","ROSENDO","6"
"12979","12979","BRANNOCK","MCKINLEY","74"
"12980","12980","ARGIRO","ALBERTA","1"
"12981","12981","MEDINA","CLARINDA","51"
"12982","12982","BARANOWSKI","DOUGLASS","65"
"12983","12983","LECAROS","ALTAGRACIA","3"
"12984","12984","BLADA","DIGNA","86"
"12985","12985","CHALOUX","LARISA","100"
"12986","12986","PEMBER","MAGAN","2"
"12987","12987","EOFF","DEVON","28"
"12988","12988","TABAG","KIRK","86"
"12989","12989","MAGINN","SHAYLA","39"
"12990","12990","NOBLET","REMA","3"
"12991","12991","STANFORTH","LAURINDA","9"
"12992","12992","CARLONE","MONA","79"
"12993","12993","NOWOSIELSKI","ALTHEA","4"
"12994","12994","DIVAN","CAROLEE","44"
"12995","12995","WOERNER","GUILLERMO","39"
"12996","12996","CLIVE","WARNER","24"
"12997","12997","RIEHLE","SELMA","81"
"12998","12998","PRESSMAN","CRISTOPHER","52"
"12999","12999","MARTHA","KIERA","87"
"13000","13000","HACKENBERY","DEEDRA","34"
"13001","13001","LIONBERGER","OSCAR","95"
"13002","13002","KENNISON","ARMAND","9"
"13003","13003","STARACE","BUCK","55"
"13004","13004","DITMAN",NA,"83"
"13005","13005","CRABTREE","MARYA","45"
"13006","13006","STOUDENMIRE","MICHAEL","19"
"13007","13007","GALARDI","KELLY","82"
"13008","13008","STAVNES","JEAN","88"
"13009","13009","ORVIS","DREW","66"
"13010","13010","MAINETTI","ODELL","93"
"13011","13011","ELK","TERENCE","44"
"13012","13012","CATLIN","JIM","47"
"13013","13013","DEPPNER","ARTHUR","68"
"13014","13014","SIETSEMA","BERTIE","82"
"13015","13015","SEAVY","CORDELIA","16"
"13016","13016","RUMBLE","AIDA","72"
"13017","13017","WILTZ","WILFRED","77"
"13018","13018","KEOGHAN","HANK","21"
"13019","13019","RIDLEY","TAKISHA","59"
"13020","13020","FLEISHMAN","ZACHERY","90"
"13021","13021","CASSELLS","WYNELL","59"
"13022","13022","EARVIN","LEONIA","56"
"13023","13023","HICKLEY","NIGEL","76"
"13024","13024","BURRER","INA","41"
"13025","13025","ANDERSSON","SON","45"
"13026","13026","HANOVER","NAKIA","41"
"13027","13027","FRANCESCO","LURLINE","89"
"13028","13028","SCHRANK","MARISA","38"
"13029","13029","JAEGERS","EARL","2"
"13030","13030","STROCK","VAN","44"
"13031","13031","FEIT","CLEOPATRA","35"
"13032","13032","BEUKELMAN","DOMINIQUE","17"
"13033","13033","HUBA","SCOT","38"
"13034","13034","MANNELLO","LARISA","9"
"13035","13035","TYGER","CHARLENE","100"
"13036","13036","PINON","CATHIE","81"
"13037","13037","RISER","QUINN","36"
"13038","13038","BIO","SAMELLA","13"
"13039","13039","MOLLURA","JENISE","27"
"13040","13040","AGUILLAR","AMADO","6"
"13041","13041","CHAMBERLAIN","WILLIAM","92"
"13042","13042","SOUERS","QIANA","94"
"13043","13043","PICCOLA","ELLIS","69"
"13044","13044","WRISLEY","JO","20"
"13045","13045","FOUT","ELISHA","91"
"13046","13046","CUCKLER","FRED","3"
"13047","13047","RAMBOUSEK","MAURA","77"
"13048","13048","BRAUND","DEWEY","15"
"13049","13049","BEIGHTOL","WELDON","46"
"13050","13050","KROEKER","KENNY","63"
"13051","13051","DATAMPHAY","LAYNE","97"
"13052","13052","BODARY","ELA","95"
"13053","13053","QUENNEVILLE","TONA","22"
"13054","13054","CARPENTIER","CODY","25"
"13055","13055","IRIMATA","LEWIS","72"
"13056","13056","PITCOCK","THELMA","18"
"13057","13057","IRION","FELIPE","45"
"13058","13058","WINKELJOHN","MARCELINO","46"
"13059","13059","MOSCARITOLO","XIAO","4"
"13060","13060","EASTMAN","RICKIE","71"
"13061","13061","SARCHET","EBONI","18"
"13062","13062","MUNAFO","HANS","51"
"13063","13063","GAUNT","RALPH","52"
"13064","13064","DAHILL","RUSSELL","62"
"13065","13065","PALLAFOR","LYLE","25"
"13066","13066","TJELMELAND","ISMAEL","70"
"13067","13067","LOVISKA","SHEMEKA","23"
"13068","13068","HASELOFF","LUCIO","3"
"13069","13069","LONERGAN","VIOLETTE","36"
"13070","13070","MCCLEOD","STERLING","92"
"13071","13071","BORLA","ALPHONSO","38"
"13072","13072","MCCALISTER","ELOIS","31"
"13073","13073","FISCHELS","HALLIE","77"
"13074","13074","MEILLEUR","HOLLEY","89"
"13075","13075","MARLOR","OLYMPIA","33"
"13076","13076","KUNDE","GUILLERMO","43"
"13077","13077","LACE","ARNOLDO","51"
"13078","13078","SANFIORENZO","BRUNA","31"
"13079","13079","SCROGGS","DOMENIC","29"
"13080","13080","FRAUTSCHI","EMELINE","86"
"13081","13081","GLOECKNER","FIDELIA","88"
"13082","13082","SALEH","EZEKIEL","14"
"13083","13083","PATTINSON","DANA","71"
"13084","13084","GRIESHOP","STEPHAN","70"
"13085","13085","GILDORE","RAYMOND","53"
"13086","13086","WINCHESTER","CHIN","56"
"13087","13087","DEFILIPPI","ISABEL","100"
"13088","13088","FENIX","TORRI","61"
"13089","13089","MINASIAN","PHUNG","13"
"13090","13090","LUBY","FARRAH","64"
"13091","13091","STROFFOLINO","JILL","37"
"13092","13092","NEBEKER","GENARO","52"
"13093","13093","LOUISSAINT","ANTONIA","91"
"13094","13094","SKOGEN","SIOBHAN","24"
"13095","13095","ROWMAN","LACY","5"
"13096","13096","SCAVONA","DOUG","32"
"13097","13097","BIGBY","ROYAL","27"
"13098","13098","MCSHAW","JEFF","5"
"13099","13099","BERGEVIN","PARKER","44"
"13100","13100","TAGLIENTE","FRITZ","9"
"13101","13101","SMALLING","MAXIMO","85"
"13102","13102","INGENITO","MORRIS","71"
"13103","13103","PODLAS","SHANDI","3"
"13104","13104","EDDY","CHRISTEN","79"
"13105","13105","EMPSON","LANE","62"
"13106","13106","ARENDASH","BELL","26"
"13107","13107","MONIAK","YON","87"
"13108","13108","KINNER","CALISTA","37"
"13109","13109","COUCH","ZACKARY","65"
"13110","13110","PHILLIPS","JEFFERY","3"
"13111","13111","WOLNER","VENITA","64"
"13112","13112","ZERKLE","LAHOMA","3"
"13113","13113","LOWTHERT","TOSHIA","86"
"13114","13114","BREWER","EMERALD","40"
"13115","13115","SCHWANEBECK","VELIA","1"
"13116","13116","EGLER","REGINIA","41"
"13117","13117","MILBOURN","TY","77"
"13118","13118","ERRICO","JANNA","4"
"13119","13119","KRABBE","GLENN","56"
"13120","13120","GADDY","MALENA","83"
"13121","13121","ALBANI","SHAWNDA","63"
"13122","13122","CRUTHER","ROSARIO","9"
"13123","13123","TRAYLER","GREGORIO","77"
"13124","13124","ALBERTINE","AMPARO","35"
"13125","13125","CASTILLEJO","MAURICIO","32"
"13126","13126","ISLER","DEANA","22"
"13127","13127","TADGERSON","KENYETTA","18"
"13128","13128","CERCONE","KATHARYN","62"
"13129","13129","MAZZARELLA","DELILA","80"
"13130","13130","WITZKE","TEMEKA","43"
"13131","13131","ELIASEN","BURT","31"
"13132","13132","WENKE","TEODORO","25"
"13133","13133","EGAR","GALEN","18"
"13134","13134","COSLETT","RAYMUNDO","64"
"13135","13135","SLIFE","JARRED","80"
"13136","13136","NOSTRAND","LIN","18"
"13137","13137","ARTEZ","GRANVILLE","8"
"13138","13138","COCKING","SIOBHAN","4"
"13139","13139","MASINI","DWIGHT","33"
"13140","13140","ELEWA","OREN","79"
"13141","13141","SWILER","ROBT","87"
"13142","13142","MCCAFFREY","REYNA","84"
"13143","13143","OHLEN","DANN","97"
"13144","13144","SARDIN","MAURICE","84"
"13145","13145","ROBERTA","EDDIE","76"
"13146","13146","YAX","ARNOLD","6"
"13147","13147","KAPPHAHN","SANA","98"
"13148","13148","JASPERS","NEVA","93"
"13149","13149","MUNKBERG","GILBERTO","50"
"13150","13150","BELFORD","WILBUR","41"
"13151","13151","VALDERAS","JOSH","30"
"13152","13152","PRESBY","ANDREW","24"
"13153","13153","MCCALLEY","DIANNA","94"
"13154","13154","HUME","BRITTA","56"
"13155","13155","BERNERI","MICHELE","92"
"13156","13156","PRENTIS","NOEMI","12"
"13157","13157","NABZDYK","CHLOE","86"
"13158","13158","DROSICK","VALENTINA","30"
"13159","13159","HEREDA","MAPLE","68"
"13160","13160","MCCLASKEY","NUMBERS","61"
"13161","13161","ARRIBAS","KELI","93"
"13162","13162","HODOR","ANGELE","85"
"13163","13163","CLAUSI","ENDA","95"
"13164","13164","FREER","BRANDIE","92"
"13165","13165","BENITO","COY","28"
"13166","13166","SACHER","TANNER","88"
"13167","13167","BLEHM","EMILIO","59"
"13168","13168","HEYWOOD","RICHARD","50"
"13169","13169","KNILL","ELISHA","32"
"13170","13170","COWING","JOSUE","68"
"13171","13171","TROUTNER","ESMERALDA","87"
"13172","13172","RUSNAK","FLORA","52"
"13173","13173","BROWE","OUIDA","15"
"13174","13174","KREIGHBAUM","OSVALDO","26"
"13175","13175","ALLTON","NICK","27"
"13176","13176","COGER","NICOLAS","34"
"13177","13177","CULP","ISAIAH","53"
"13178","13178","PRETZEL","STEWART","51"
"13179","13179","HOLUBAR","DELMER","27"
"13180","13180","OGLEY","LEATRICE","43"
"13181","13181","CZARKOWSKI","WILLIAN","94"
"13182","13182","SEA","RENATE","50"
"13183","13183","KORTEMEIER","RESSIE","10"
"13184","13184","JAHR","ABRAHAM","80"
"13185","13185","MCCLEVE","ROY","91"
"13186","13186","MARCELLINO","SOILA","40"
"13187","13187","ADELSTEIN","MANUAL","78"
"13188","13188","WORREL","MAXIMO","36"
"13189","13189","GLEBOCKI","DESSIE","76"
"13190","13190","CHAIRES","LAWERENCE","27"
"13191","13191","ALFANO","BRAIN","92"
"13192","13192","BRECHEISEN","RYAN","34"
"13193","13193","KORSHAK","KENETH","95"
"13194","13194","BESLER","LYLA","78"
"13195","13195","MCGARRITY","JAROD","30"
"13196","13196","DZUBAK","JULIE","74"
"13197","13197","UPTHEGROVE","DELORAS","72"
"13198","13198","GARMON","MEG","52"
"13199","13199","ANDRINO","HANK","11"
"13200","13200","GADBERRY","CEDRICK","81"
"13201","13201","BEECKMAN","LORENE","78"
"13202","13202","GOLUBA","STEVE","68"
"13203","13203","SERRO","RAQUEL","95"
"13204","13204","TODMAN","JIN","84"
"13205","13205","SHUMAKER","TRISH","51"
"13206","13206","GIRT","REYES","19"
"13207","13207","DEVENS","DIRK","16"
"13208","13208","SMIECHOWSKI","YUK","85"
"13209","13209","FILONUK","BERTRAM","80"
"13210","13210","CRANFIELD","ROSEANN","94"
"13211","13211","WIDDOWS","MILAGRO","31"
"13212","13212","FARINACCI","KARL","31"
"13213","13213","SHAPSKINSKY","PATRIA","76"
"13214","13214","ZELL","MICHELINA","33"
"13215","13215","OPIE","TITUS","12"
"13216","13216","HAZELBAKER","CLIFTON","19"
"13217","13217","FEDOREK","SILVA","17"
"13218","13218","BAPTISTA","EDGARDO","18"
"13219","13219","GUILLORY","CARMEN","27"
"13220","13220","MODENA","ELIZABETH","28"
"13221","13221","POYNTON","NESTOR","14"
"13222","13222","POLLINS","JESSIA","26"
"13223","13223","BOHINC","FREDDIE","81"
"13224","13224","WION","CHANTELL","21"
"13225","13225","SCURTI","PEDRO","31"
"13226","13226","ABIDE","KANDY","37"
"13227","13227","DOSREIS","SID","48"
"13228","13228","STROBRIDGE","BRANDEE","5"
"13229","13229","CONNET","CARMELA","76"
"13230","13230","DESORBO","WILLIE","56"
"13231","13231","DELUSIA","MARILYN","48"
"13232","13232","RUSSWURM","QIANA","43"
"13233","13233","THILGES","CASSONDRA","83"
"13234","13234","PHUNG","DONALD","22"
"13235","13235","MOWERS","CLAUDE","98"
"13236","13236","SANTISTEVAN","LYNDSAY","58"
"13237","13237","VICTORINE","MELINDA","38"
"13238","13238","DINNENDAHL","HORACIO","20"
"13239","13239","PEBBLES","EMERITA","64"
"13240","13240","PUDLINSKI","SYDNEY","40"
"13241","13241","MROTZ","AUDRIE","88"
"13242","13242","BUFFY","TESSIE","20"
"13243","13243","DITCH","RORY","74"
"13244","13244","WENDLER","SARAH","94"
"13245","13245","CASARES","REX","58"
"13246","13246","BARANICK","EDMUND","30"
"13247","13247","CRUFF","DORCAS","53"
"13248","13248","ARGUILEZ","FREDRICK","11"
"13249","13249","BILER","VERNON","18"
"13250","13250","DECHAMPLAIN","SUNNY","78"
"13251","13251","RZEPKA","RENDA","100"
"13252","13252","SKENANDORE","SHARONDA","10"
"13253","13253","MURRY","SIU","98"
"13254","13254","REITZ","JOLINE","14"
"13255","13255","ULTSEH","BLAIR","16"
"13256","13256","STOCKHOFF","ESTELL","64"
"13257","13257","GERWIG","ADRIEN","83"
"13258","13258","SACARELLO","SAMIRA","8"
"13259","13259","HESLEP","CHESTER","37"
"13260","13260","LACHERMEIER","ADRIANE","10"
"13261","13261","KOT","CHUNG","73"
"13262","13262","MARTHALER","RICARDO","51"
"13263","13263","COOPERSMITH","BRANDEE","1"
"13264","13264","COHEA","JESSIA","52"
"13265","13265","HOSECK","DOLORIS","80"
"13266","13266","KINGSTON","DELILA","51"
"13267","13267","OLLIE","LYNWOOD","20"
"13268","13268","TEO","AMBROSE","1"
"13269","13269","UDDIN","BARTON","18"
"13270","13270","KROES","LUKE","6"
"13271","13271","LEITE","ABDUL","24"
"13272","13272","SECKER","MICHEL","88"
"13273","13273","DEFORGE","EMA","65"
"13274","13274","WASHINTON","BARNEY","15"
"13275","13275","SCHMIER","CAMELIA","4"
"13276","13276","LORETTO","ASHANTI","61"
"13277","13277","POCKRUS","ALONZO","59"
"13278","13278","PELLERITO","BRENDON","52"
"13279","13279","SCHRAUGER","BARTON","19"
"13280","13280","OSORIA","GIGI","10"
"13281","13281","BURES","LUKE","12"
"13282","13282","DAUGHERTY","IAN","19"
"13283","13283","BIEZ","LESLIE","1"
"13284","13284","WELLINGTON","CHRISTOPHER","77"
"13285","13285","DOMEK","JUDE","11"
"13286","13286","STOLFI","ALEISHA","76"
"13287","13287","PLOURDE","ECHO","52"
"13288","13288","PAULSON","LAKESHA","91"
"13289","13289","DIEPPA","CORRIN","31"
"13290","13290","RAYMUNDO","SANTINA","57"
"13291","13291","BLACHOWSKI","RONA","46"
"13292","13292","SKAFF","BRADLY","57"
"13293","13293","JEANNOEL","JACKSON","66"
"13294","13294","ARO","YUK","59"
"13295","13295","KAATZ","DEANDREA","66"
"13296","13296","MOLINARO","KASEY","41"
"13297","13297","BREVIG","HERTA","53"
"13298","13298","CATALAN","ROSAMARIA","22"
"13299","13299","LIMOGES","LUPE","69"
"13300","13300","POMAINVILLE","TYNISHA","32"
"13301","13301","BELIDOR","OLIVER","65"
"13302","13302","VESSELLA","JOLENE","26"
"13303","13303","PREVATTE","ISIDRA","46"
"13304","13304","WINNINGHAM","FRANCIE","72"
"13305","13305","TAILOR","LUCIO","26"
"13306","13306","MCFADYEN","BASIL","20"
"13307","13307","ANGWIN","KACY","37"
"13308","13308","ANDRZEJEWSKI","REINA","69"
"13309","13309","BAIERA","HOLLI","24"
"13310","13310","UMANA","MARYANN","80"
"13311","13311","GALIN","HILDEGARD","35"
"13312","13312","ALSING","GREGORIO","4"
"13313","13313","CRIGLER","CLEO","39"
"13314","13314","GELBART","LOUIE","72"
"13315","13315","RUNNELLS","TREY","44"
"13316","13316","CIANO","MARCEL","58"
"13317","13317","SHOALS","PATTIE","53"
"13318","13318","VANDERHYDE","BEVERLEY","99"
"13319","13319","MELLOTT","EVAN","75"
"13320","13320","ZULEGER","WILBURN","84"
"13321","13321","KEHN","GEORGIA","92"
"13322","13322","CZUBIA","MYUNG","32"
"13323","13323","IDEMOTO","SANTA","11"
"13324","13324","PENDERGRAPH","ALTHA","97"
"13325","13325","FOLMAR","ALEEN","53"
"13326","13326","TABOLT","HERSHEL","17"
"13327","13327","SCHAMBUREK","TOMMY","69"
"13328","13328","BRISCOE","DUDLEY","38"
"13329","13329","DEGRANDE","MALCOLM","32"
"13330","13330","ESQUIVIAS","RANDEE","66"
"13331","13331","KELSHEIMER","JESSIA","12"
"13332","13332","DERRER","THURMAN","31"
"13333","13333","HIDROGO","TYESHA","94"
"13334","13334","MARTINDELCAMP","LLOYD","98"
"13335","13335","BRANDLE","ELI","67"
"13336","13336","RILLERA","ROBERTO","57"
"13337","13337","YUNK","EULAH","23"
"13338","13338","CUNICO","OTIS","55"
"13339","13339","FILIPPO","BENNETT","60"
"13340","13340","WHISBY","ORLANDO","27"
"13341","13341","DONIVAN","SAUNDRA","60"
"13342","13342","KOLARIK","LLOYD","64"
"13343","13343","FRANGIONE","BRAIN","20"
"13344","13344","MIGUEZ","DORTHEA","32"
"13345","13345","GUSTER","DOLLY","51"
"13346","13346","PLAINY","ANNIKA","97"
"13347","13347","FAHRENDORFF","NESTOR","24"
"13348","13348","VENEY","VANESSA","43"
"13349","13349","KAAS","SADYE","86"
"13350","13350","BONANNO","IVAN","94"
"13351","13351","VALENCIA","JOEL","1"
"13352","13352","POLCOVICH","CARRI","31"
"13353","13353","PARDY","RENALDO","98"
"13354","13354","FOWER","ENRIQUE","50"
"13355","13355","WINGLER","DARRIN","98"
"13356","13356","KAUS","TYRONE","37"
"13357","13357","SVEUM","LOGAN","99"
"13358","13358","DEL","AKIKO","38"
"13359","13359","AUGUSTYN","FLOYD","82"
"13360","13360","KUNST","HOYT","92"
"13361","13361","STRINGHAM","CHRISTIA","22"
"13362","13362","PALLANTE","DONNA","95"
"13363","13363","GILCRIS","CYNDY","34"
"13364","13364","KOHLMEYER","YU","91"
"13365","13365","DEFRIES","CEDRIC","74"
"13366","13366","VANABEL","CARLYN","39"
"13367","13367","TAVERNA","BUFORD","11"
"13368","13368","TOWNLEY","VICKIE","68"
"13369","13369","ESKELSEN","KASSANDRA","23"
